(Daily Yield * No of Units Produced) / 100,(العائد اليومي * عدد الوحدات المنتجة) / 100,
(Good Units Produced / Total Units Produced) × 100,(الوحدات الصالحة المنتجة / إجمالي الوحدات المنتجة) × 100,
(Total Workstation Time / Manufacturing Time) * 60,(إجمالي وقت محطة العمل / وقت التصنيع) * 60,
<0,أصغر من 0,
"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",<b>تعذر إنشاء الأصل.</b><br><br>أنت تحاول إنشاء <b>{0} أصول</b> من {2} {3}.<br>ومع ذلك، تم شراء <b>{1} أصناف</b> فقط وهناك <b>{4} أصول</b> موجودة بالفعل مقابل {5}.,
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>السطر #{0}:</b> الحزمة {1} في المستودع {2} لا تحتوي على أصناف معبأة كافية:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,
<li>Clearance date must be after cheque date for row(s): {0}</li>,<li>تاريخ المقاصة يجب أن يكون بعد تاريخ الشيك للأسطر: {0}</li>,
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>الصنف {0} في الأسطر {1} تمت فوترته بأكثر من {2}</li>,
"<li>Packed Item {0}: Required {1}, Available {2}</li>",<li>الصنف المعبأ {0}: المطلوب {1}، المتوفر {2}</li>,
<li>Payment document required for row(s): {0}</li>,<li>مستند الدفع مطلوب للأسطر: {0}</li>,
<li>{}</li>,<li>{}</li>,
<p>Cannot overbill for the following Items:</p>,<p>لا يمكن الفوترة الزائدة للأصناف التالية:</p>,
<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>تاريخ الترحيل {0} لا يمكن أن يكون قبل تاريخ أمر الشراء للتالي:</p><ul>,
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,حدث تعارض في سلسلة التسمية أثناء إنشاء الأرقام التسلسلية. يرجى تغيير سلسلة التسمية للصنف {0}.,
ALL records will be deleted (entire DocType cleared),سيتم حذف كافة السجلات (سيتم مسح نوع المستند بالكامل),
Add vouchers to generate preview.,أضف القسائم لإنشاء معاينة.,
Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),مبلغ الخصم الإضافي ({discount_amount}) لا يمكن أن يتجاوز الإجمالي قبل هذا الخصم ({total_before_discount}),
"Additional Transferred Qty {0}
					cannot be greater than {1}.
					To fix this, increase the percentage value
					of the field 'Transfer Extra Raw Materials to WIP'
					in Manufacturing Settings.","الكمية المحولة الإضافية {0}
لا يمكن أن تكون أكبر من {1}.
لإصلاح ذلك، قم بزيادة قيمة النسبة المئوية
في حقل 'تحويل المواد الخام الزائدة إلى الإنتاج تحت التنفيذ'
في إعدادات التصنيع.",
All items must be linked to a Sales Order or Subcontracting Inward Order for this Sales Invoice.,يجب ربط جميع الأصناف بأمر مبيعات أو أمر تعاقد خارجي وارد لفاتورة المبيعات هذه.,
Allow Delivery of Overproduced Qty,السماح بتسليم الكمية المنتجة بشكل زائد,
Allow Editing of Items and Quantities in Work Order,السماح بتحرير الأصناف والكميات في أمر العمل,
Allow Implicit Pegged Currency Conversion,السماح بتحويل العملات المربوطة ضمنياً,
Applicable only on Transactions made using POS,ينطبق فقط على المعاملات التي تتم باستخدام نقطة البيع (POS),
Are you sure you want to revise this budget? The current budget will be cancelled and a new draft will be created.,هل أنت متأكد من رغبتك في مراجعة هذه الميزانية؟ سيتم إلغاء الميزانية الحالية وسيتم إنشاء مسودة جديدة.,
Asset {0} is not submitted. Please submit the asset before proceeding.,الأصل {0} غير معتمد. يرجى اعتماد الأصل قبل المتابعة.,
At Row {0}: In Serial and Batch Bundle {1} must have docstatus as 1 and not 0,في السطر {0}: في حزمة الأرقام التسلسلية والدفعات {1} يجب أن تكون حالة المستند 1 وليس 0,
At least one raw material item must be present in the stock entry for the type {0},يجب وجود صنف مادة خام واحد على الأقل في قيد المخزون للنوع {0},
Atleast one raw material for Finished Good Item {0} should be customer provided.,يجب أن يتم توفير مادة خام واحدة على الأقل لصنف المنتج النهائي {0} من قبل العميل.,
Batch Qty updated to {0},تم تحديث كمية الدفعة إلى {0},
"Bold text for emphasis (totals, major headings)",نص عريض للتأكيد (الإجماليات، العناوين الرئيسية),
Calculate but don't show on final report,الحساب مع عدم الإظهار في التقرير النهائي,
Cannot Assign Cashier,تعذر تعيين أمين صندوق,
